kelime,anlam
cılım,oyundaki kişinin oyun bozması
tilla,beygire yük sarmak için semerin iki yanına halatla yapılan üzengi
ibrik,toprakbardak
soko,bulgur döğülen içi oyuk taş
ver etmek (ver edti kafasına kafasına),vurmak
damçi,damla
Bölme,Büyük tepsi
boğür,vücudun yarı kısmı
petire,kova
i̇lenma,çığlık atma
löbed, nöbet
kurçalamag,karıştırmak
beşgir,havlu
döşürmak,dilenmek
sille,tokat
fistan,elbise
fıncan,fi̇lcan
maa,uzun ağaç
şallek,donsuz
yalek,kap
icçak,sicak
tapınmak,ara ara uyumak (şekerleme yapmak)
habank,kepenk
Efsene,Saf kişi
afsi,ucu yanmış odun
Eğerçak,Yün eğirmeye yarayan alet
karmek,arkasından konuşmak
Zirze,Menteşe
frenk,domates
ape, anneanne- babaanne
maa,uzun ağaç
haney,birden çok katlı ahşap ev
agyüz okarı diktirmek,ters getirmek
i̇kitamirli,i̇ki ağızlı (bıçaklı) saban
akideş,arkadaş
merek, samanlık
gürük,eşek yavrusu
danil,geveze.dangalak
üleş,leş
dutmeç,erişte ve ev makarnası çorbası
ağin,sırt
galb,zamanı dolmuş geçersiz
guma,ikinci eş
isdikan,bardak
bidurame,azıcık
kalecoş,peskütan ile yapılan bir çeşit koyuca çorba
cöğmek,yere eğilmek
annaklama,gözetleme.bakma
Esaslice,Esaslı
keliç,ayrık cinsinden kökü derinlerde olan zehirli bir ot
vere,hep
Aba,Kıldan yapılan elbise
yahşi,güzel
gayi̇,gayır
dible,pirinç
çinkan,çingene
hamayıl,muskalı kolye
papic,pabuç
icçeg, sıcak
bag,bey
çıdımık,menengiç ağacı
Eğarcek,Yün eğirmeye yarayan alet
emak,yemek
carçi, seyyar satıcı
anışdırmak,hatırlatmak
bebalanmak,tıka basa yemek
çemrenmek,paça sıvamak
çermig,kaplıca
dırıp,çok pek çok
bir cimcik,çok az
gejkere, iki kişinin yük taşımak için kullandığı alet
telgan,ısırgan otu
düggan,dükkan
elakçi, çingene
acens, haber
zıkkım,haram
avza,kibrit
tırıp,çok pek çok
gangımek,galgımak
güvermek,yeşermek
girlik,gömlek
Zaba,Soba
Güman,Umut
yaslağaç,kalıp
yağlıg,mendil
debellenmeg,yuvarlanmak
çaplama,az kalın kereste.cıta
düşün,mola
köbag, mantar
katık,ayran
iz,çok az
sunturec,bıçak
gurun,su kabı
bıdırdamag,konuşup durmak
özeme, ayran
damre,egzama
hınısi,toprak yayık
ahal,i̇yi
kuçuk,köpek yavrusu
Döşak,Minder
çızmek,çizmek
aktarmak,yufka çevirmek
yaztırcan,Yazdıracağım
Geşka,At arabası
cırtadan,acı yabani kavun
cettüğüm,kördüğüm
Futuraf,Fotoğraf
bildir, geçmiş yıl
kalpi̇,kalbur
förtlatmek,ateşte kaynatmak
ariş,ham iplik
dillendirmek,herkesce bilinilen.dedikodu.yaymak
seğdıç,arkada�
çimmek, duş almak- banyo yapmak
garaböcük,domuz
bir cimcik,çok az
Irmızen,Ramazan
alartı,aydınlık
cuvare,sigara
tudmek,yakalamak
hahut,külüstür
eriş,üzüm asması
geviş,memeli hayvanların yattığı yerden aldığı besinleri yeniden ağzına getirerek çiğnemesi
cılmık,i̇nce çubuk
samı,boyunduruk
yörü,yürü
pirpirim,semiz otu
çir, kayısı-elma-armut gibi meyve kurusu
Abe,Ağabey
küflad,ev halkı
külve,hava deliği
sağtıç,arkada�
Göllanmek,Suyun dolması
aşurma,kulplu kazan
cöpel,köşe
peşkir,havlu
fözüli,gereksiz
kamcig,ağzı çukur ve içeri çökmüş gibi görünen
bezmak,usanmak
cescevlek,biçimsiz
bunemak,çok canı darlanmak
gidişmak,kaşınmak
carenak,sağnak yağmur
eğin,sırt
celfin,piliç
kopa(tes),bardak
cünüt,bataklık
deynek,sopa
düşük,erken olan
çiy,ham
çıbık,küçük ince dal
kiral,kiler
sumsok,yumruk
Gımı,Ot sapı
şişmek,şımarmak
Nişannı,Nişanlı
elaktirik,pilli el feneri
i̇cli̇k,i̇ç çamaşiri
cerahat,i̇ltahap.i̇rin
Çeçil,Tel peynir
vıykırınca,bağırınca
Gayış,Bel kemeri
angin,alçak yer
hamıd,atların koşumlarının bağlandığı boyunduruk
düdüklük,düdük yapılan bir ağaç çeşiti
dıtdırıbızdıg,baldırı çıplak
guşlog,sabahla öğle vaktinin arası
örken, kalın ip
enig, köpek yavrusu
dıntıklamak,fazla incelemek
cağil,tarladaki̇ taş-kaya yiğini
yarımağız,i̇steksiz
nörüyun,ne yapıyorsun
garametli,talihsiz
hıpar,duvar dizmede büyük taşlar arasıra konan küçük taş
kalikli,sürtük
velvela,gürültü
i̇skemi,sandalye
çalik,çocuk ayakkabısı
çacik,tülbenti başın etrafına sararak bağlama tarzı
çelecoş,keş pişirilerek yapılan yemek
Cambil,Elfeneri ampulü
geleh,tezek yığını
acer,taze
kürrüg,eşşek yuvası
herslenmek,kızmak
çemkürmek,azarlamak
sorotmak,ayakta durmak
beri,burası
badı,ördek
ineemen,kertenkele benzeri bir sürüngen
dunter,üstü kapalı yer.sakin yer
çiğ, pişmemiş
guzlecı,doğuracak hayvan
toz,tuz
hışıglı, sürekli hasta olan
busemak,boğasımak
cilbirdin,ağıl yapmakta kullanılan akdeniz tipi çalı
Haçan,Madem ki
istikan,bardak
hıbar,duvar dizmede büyük taşlar arasıra konan küçük taş
çolsuz,fakir
hüs,sus
cıftır,çok hızlı şekilde
kaltoş,kel
kız,kız
tinkitmek,sıçratmak
toman,pijama veya alt giysi
lapır,rapor (doktor lapırı)
hırdlek,gırtlak
batdel,geniş
yırtımcı,manifaturacı
çemça, yemek kepçesi
serpuş,tencere kapağı
alartı,aydınlık
döşlük,kolsuz yelek
öğlennedi,öğle vakti
doh,dikkat çekmek
ferfane,topluca yenen eğlenceli yemek
hasude,aside. un
atlak,dereden kolay geçme yer
kasbalak, tahta bahçe kapısı
güheylan,cins arap atı
toru,doğru
bed,kötü.çirkin
ayı kulağı,zehirli bitki
goşem,i̇ki eli birleştirerek oluşturulan çukurluk
çatil,fide
vazalah,ukala
farımek,yaşlanmak
Eğercek,Yün eğirmeye yarayan alet
tamek,delik
guzzik,kambur
kirel,kiler
aroklame,zayıflama
kümenli,hamile
ferfene,topluca yenen eğlenceli yemek
Zibil,Çöp
yerımağız,isteksiz
bulama,un çorbası veya yayla çorbası
kabkacak,mutfak eşyaşının tamamı
çankıl,zil
kayi̇,gayır
yamaç,eğim
ağardı,süt
gunşo,komşu
çemgürmek,azarlamak
yalım,galiba
cerçi̇,seyyar satici
dürmeç, ekmek arası
Ahırı,Sonu
hamayıl,muskalı kolye
öten,geçen gün
cetil,fide
bıltır,geçen yıl
ay vermek,seslenen kişiye cevap vermek
bara,koyun sağım yeri
Buldur,Geçen yıl
gadeglı,dertli sorunu olan
De heyde,Çabuk gel
dürmük,dürüm
Nişannı,Nişanlı
yağlıg,mendil
tirit,et suyu
lapır,rapor (doktor lapırı)
kürüg,eşek yavrusu
ünlemeg,seslenmek
ami̇,amca
gelberi,kül çekme aleti
fanya,gaz lambası çeşidi
tökezimek,bir yere ayağı takılmak
hagket,hakikaten
hökelakli,i̇riyarı
tesellema,misal vermek
garitmeg,kurumlu yürümek
karik,Artık
erkeç,iki yaşını geçen erkek keçi
lobiya,fasulye
huzulu masraf (fuzuli),gereksiz yapılan harcama
küz, sonbahar
garalastig,lastik ayakkabı
gekit,kuru dölsüz
hedig,haşlanmış buğday
goma,ikinci eş
hırık, eskimiş ayakkabı
devamsız,işe yaramaz
zırnıg vermemek,hiçbir şey vermemek
betig,berelenme
bepea,böbe
barenari,şöyle böyle
Gejjo,Aptal
dölak dur,akıllı uslu durmak
mevra kesmek,sohbet etmek
gerni,gara
eçir,yapığı davranışın karşılığı.olacaklar
Bahalı,Pahalı
laf avurtlamak,laf karıştırmak
i̇sgemi,sandalye
vergili,evlenmek üzere sözü verilmiş kız
diyalmek,ayakta durma
kasbalak,tahta bahçe kapisi
öllük,bebeklerin kundaklarına ısıtılarak konulan çok ince killi toprak
hayvah,eyvah
kasmok,çam kabuğu altı zarı kabuk
malamad, rezil olmak
yellehçi,yalaka
fırt,yudum
Böle,Böyle
kavum hısım,akrabalar
seda,sadece
taşdar,sofra bezi
ürümak,havlamak
cilli,yüzü gözü benli
gaysi,kayısı
Duydoy,Güvercin
suloh,hamam havlusu
geçivemek,kaçmak
hıncırıg,hayvanların tekmesi
högelekli,i̇riyarı
esbab,elbise
verecegli,borçlu
al kerısı,lohusalara geldiğine inanılan efsanevi yaratık
garametli,talihsiz
bırtma,hedefi şaşırmak
le mi,değil mi?
sâpi,çocuk
Dakga,Dakika
kuşam,i̇ki eli birleştirerek oluşturulan çukurluk
yarımağız,i̇steksiz
gejkere, iki kişinin yük taşımak için kullandığı alet
çelacoş,keş pişirilerek yapılan yemek
eynı kelmek,mektubun cevabı gelmek
eski,çamaşır
cıbır,yoksul
cuveş,güneş
tundar,üstü kapalı yer.sakin yer
epe, anneanne- babaanne
pöslük, çöp toplama alanı
kavot,buğday unu
çağa, çocuk
covere,sigara
anleg,açık alan
dergemek,bırakmak
Barın,Göğüs
Gıncu,Zayıf
bila,beraber
köremez,süt yoğurt karışımı bir yiyecek
tavıriya,oraya
eskiedek, bayan
eğraldlık,bir tür imece
mi̇ntak,kapakli plasti̇k kap
gövrek,tohum
Düga,Düve
ayingaç,zakkum
çömçe,büyük tahta kaşık
köbag,mantar
cankedme,yeni anlama.aklı başına gelme
hışgımı,epeyce
sınamag,denemek
gınnap,kenevirden yapılan ip
düzeyak,merdiveni olmayan
galik,kara lasti̇k
gıyımsız,cimri
gicişma,kaşınma
çur,hastalık
takne,hamur kabı
kürze, su testisi
samı,boyunduruk
düzkec,kalem açacağı
lenkar,kalaysız bakır sahan
gürdüşmek,kürneşmek;güreşmek
Baçe,Çatı penceresi
Tö'bosun,Tövbe olsun
ar,erkek
firez,biçilmiş tarlada kalan hububat sapları
göpeg,mantar
diltumbek,şeftali
kanne,cam
hış ter,aşırı terlemek
eçıkerpa,kamyon
i̇teği,buğday ve saire kurutmak için yünden yapılmış tüysüz battaniye
egis nükde yapmak,alay etmek
hozo,kanı soğuk
hamayıl,boyuna asılan muskalı gümüş kap
mıh, çivi
haget,hikaye
yalım,galiba
cibre,yazı yazma ucu
şuke,pestilinkatlanmış şekli
patig,berelenme
kecmiş,i̇htiyarlamış
ıltız,yıldız
deççal,kötü aynat
ırak,uzak
dinor,maltız
essah,doğru
Güman edmak,Umut etmek
naçak,balta
zınarmek,karşı gelmek
anik, köpek yavrusu
tarlanma,sıkılma
çıdımık,menengiç ağacı
holleçelik,çelik çomak oyunu
leylim,limon
yarımağız,isteksiz
dizlik,külot
miriyıkıg,morali bozuk
çet,orta yer
çeğ,banyo ihtiyacını gidermek için yapılmış yer
i̇sod,biber
mindar,leş
garametli,şanssız
pezmek,usanmak
aliçakır,hırsız
ikinnadi,ilkindi vakti
bencileyin,benzer
i̇çli̇k,i̇ç çamaşiri
gocabaş,şekerpancarı
eş, yemek (pilav)
gedik,çocuk ayakkabısı
çekişme,ağız kavgası
böcük,böçek
tırpen,ekin biçmede kullanılan aygıt
dartılmag,kibirlenmek
Çumçe,Kepçe
medek,dişi manda
mazanni,kötü huylu
farımak,yaşlanmak
mozik,buzağının büyüğü
Gur,Mezar
enig, köpek yavrusu
böğü,örümcek
bace,dam
hesir,otlardan yapılmış sergi
çitemeg,dikmek tutturmak
ander,münasebetsiz
orup,tahıl ölçüsü
kandi̇ma,kandırma
ellem,galiba sanırsam gibi bir şey
yargın,sırt
Ganfed,Akide şekeri
Seyirtmek,Koşmak
meşdala,sebze fidelerinin hepsine birden söylenen söz
apalemak,emekleme
hahot,külüstür
dizme,tahtadan oda bölmesi
azmen,melez
accük,az
gökkülü sarı,göğüs kısmı sarı olan küçük bir kuş türü
gaya,kaya
gömba,kalın çörek
çudora,kapak
azman,melez
aburçubur,karışık
kocuman,gosgoca
kamçik,ağzı çukur ve içeri çökmüş gibi görünen
nâlet,lânet
Ağhur,Ahır
çecik,başörtü bağlama
gartoloz,yaşlı
bodak,karatavuk büyüklüğünde açık renkli ve benekli kuş
neyenne,hangi tarafa
çalkalama,ayran
kelem,lahana
atleg,dereden kolay geçme yer
gage(ağa),abi
daddok,çok sevimli
düzgeç,kalem açacağı
kusoğo, tutuşmamış tütmekte olan kalın odun
sağirtmek,koşmak
Garonun yokuşu,Ambar yokuşu
avlürür,yeterli
gengımag,galgımak
birçegli, havuç
i̇sod,biber
kebenek, kelebek
düzkaç,kalem açacağı
zoba,dayak
rezo,razı
minten,gömlek
dolemak,sarmalamak
yellahçi,yalaka
orop,çeyrek
mazanni,kötü huylu
sitil,küçük bardak
taz,çabuk
farfar,şişeden yapılan gaz lambası
çüng,dip
gi̇di̇vemag,gitmek
eşik,kapı girişi
Atul,Küçük kök bitki
akyüz okarı dikdirmek,ters getirmek
martek,kereste
kandir,kenevirden yapılmış ip
pamak,parmak
matiflamag,şaşırıp
urğunurğun,gizli gizli
yaztırcan,Yazdıracağım
caveloz,sincap
berf,kar
zıtdına gitmek,hoşlanmamak
amal,i̇shal
kepmeg,dik duran bir şeyin yıkılması
busten,karpuz
kürsü,tandırın üzerine konan masa
kısık,i̇ki dağ veya tepenin arasındaki dar geçit
Cırcır,Fermuar
zıbarmek,ölmek
sitil,küçük bardak
fing atmak,ordan oraya durmadan gitmek
kevende,geveze
meh,al
suloh,hamam havlusu
davıriye,oraya
fanle,kollu atlet
kordig,çukur
merkep, eşşek
dırmaç,elörgüsü iplik
mayıs, büyük hayvan dışkısı
kartul,patates
horum,susamın sapıyla beraber kurutulması için belinden bağlanmış ve
açünnü,cin
gucuman,gosgoca
gesar,harmandan sonraya kalan süprüntü
akyüz okarı diktirmek,ters getirmek
haçan,ne çabuk
gelperi,kül temizleyici
dumbelak,takla atma
lapıd,demir parçası
cımkı,ince değnek
payeh,bayahtan
bana,bana
Zirza,Menteşe
ende,bu;şu;o
istepen,yaban teresi
kandarma,kemerli yapı
zürriyat,soy
ankaz,büyük
künafe,taze peynirle yapılan kadayıf tatlısı
Bazleme,Saçta pişirilen ince yassı ekmek
bondan kelli,bundan sonra
eyin-öyün,baştan savma
peca,dam
ape, anneanne- babaanne
sokranmak,söylenmek
zelva,öküzün boyunduruğunun çıkmaması için takılan eğri değnek
havflenmek,korkmak
huyrat,kaba
pempe poşo,karahindiba çiçeği
çırcır,fermuar
yergın,sırt
cakkıl,zincirli iki ucuna kova takılan uzun çubuk
zevla,sopa
bişgel,çabuk pişen
mayesı cımbıltak,gerçek kişiliğini gösterme
Atol,Küçük kök bitki
pittuma,azıcık
açcük,az
kevar,bahçe küçük bölüm
sınamag,denemek
kullap,kapı demiri
givra,kirve
müçürüm,omlet
savucu,süt sağan
bonar,pınar
nehır,sığır sürüsü
pibi, hala
birçekli, havuç
çalkema,ayran
üygü,uyku
ezmen,melez
sapkane,kolay kolay olmayan
çörtük,yabani küçük armut ağacı
pildir, geçmiş yıl
kaygana, omlet
Bibi,Hala
gümenli,hamile
kanlı,katil
gacçog,kadar
Tingildemek,Koşmak
Zadtine,Zaten
hozen,ekin artığı
aşig,kapı girişi
azmak,su birikintisi
kranlamag,yanından geçmek
Besmi,İsim
toga,çorba
gulunc, omuz kemiği
kavurge,kavrulmuş buğday
Pelit,Meşe ağacı
tilla,beygire yük sarmak için semerin iki yanına halatla yapılan üzengi
tavag,üzüm yaprağı
buğön,bugün
güdürük,tereyağı gibi yiyeceklerin konduğu toprak kap
çara,akıntı
pöca,fasulye
sertmek,gezmek
debellaş,bir kimsenin diğerini kızdıracak şekilde ilgilenmesi
buldukça buşremak,yetinmemek
yüssük,yüzük
cerema,zahmet
yaşmak çalmak,ağzı örtecek şekilde baş bağlamak
göynük,elemli
kanayaklı,kadın
pilo, pilav
dizbezi,pijama
şaplak,tokat
ırag,uzak
çınnak,tırnak
dene,buğday tanesi
gemçük,dişsiz
çatalevrat,bir böcek türü
davamsız,işe yaramaz
firik,yemek için ateşte çok hafifçe ütülenen taze hububat
sağirmek,koşmak
seray nikahı,resmi nikah
fetil,kalın yufka
çımbış,komiklik.şaka
vesait,araba
puyma,üşümeden dolayı donacak hale gelme
ebakümeci,yemeği yapılan yabani bitki
anlak,açık alan
gi̇di̇vemek,gitmek
çındır,etteki sinir
ürümeg,havlamak
tavetir,çok iyi
tumofil,otomobil
işgafe (işkafe),yöresel yufka ekmeği
tigme,meyve fidanı
çuvera,sigara
şedır,fırında ekmeği pişiren kişi
toluk,tulum halinde çıkarılmış keçi derisinden yapılan su taşıma aracı
motur,traktör
hırdlak,gırtlak
herif,adam
bakitmek,sağlamlaştırmak
Inırıme,Ağırkanlı
Çiridmek,Çömelmek
doge,çorba
Annaşma,Anlaşma
kudubet,çirkin
le mi,değil mi?
cıtlatmak,bir şeyi üstü kapalı anlatmaya çalışmak
şikirsiz,çirkin
bed,bulgur dolma içi
i̇lac,bahis
dıreş,uzun boylu
cıftır,çok hızlı şekilde
tejgere,gübre taşıyıcı
yekinmek,birden kalkmak
gakiliç,biçimsiz şekilsiz
teman,dedim ya. yaptım ya. ben sana anahtarı verdim taman
aşır,aşı
apıle,abla
sehen,tabak
omo,dalkavuk
mıt-mıt,yavaş yavaş
düllük,çocuk düdüğü
gelan,gidelim
çügündür,pancar
Abteslık,Lavabo
nemrut,asık suratlı
Gözü kararmag,Başı dönmek
Kındışlı,Rüküş
derlame,toplama
çapin,küçük kazma
Çikelek,Yaban çileği
pöğü,örümcek
kındıllik,çember
pırcıkli,havuç
Hıre,Zayıf
gamge,odun parçası
cöör,mısırın alt sap kısmı
müzevir,fitneci
helhal,bilezik
teballenmek,yuvarlanmak
nencan,ne yapacaksın
Mekdap,Okul
soharıç,kavurma
dızınen,iri kıyım
serpene,kamelya
bikoşam,bir avuç
kabı,evin ön kısmı kapı
küheylan,cins arap atı
cımpış,komiklik.şaka
ketik,çocuk ayakkabısı
yokarı,yukarıya
soluk,hamam havlusu
aşamle,akşamleyin
kuşhena,büyük sahan
Toka,Bilye
naçak,balta
cıstig,erkek ayakkabısı
pazer, çarşı
eteklik,etek
Fidoz,Sevimli
örkan, kalın ip
büvat,tarlada suyun yönünü değiştirmek için kurulan set
genkar,sakız otu
sürküç,bez
kuşhane,ağzı kapaklı
ayakyolu,tuvalet
hasuda,un tatlısı
bak,bey
sekırmag,titremek
çentır,1.gelişmemiş 2.karışık durum
gadinge,yenge
beka,galiba
sokum,lokma
evu,zehir
sumsuk,yumruk
aleşmeg,yerleşmek
ilaman,limon
töşlük,kolsuz yelek
gablıh,mutfak rafı
erzam,gerekli.lazım
çıpır,alaca çok renkli
geri̇z,kapalı su yolu
ağlanmek,durmak
çanepid,camdan ekmek kabı
devrisi kün,ertesi gün
nörün,ne yapıyorsun?
çöğlanmek,devrilmek
gi̇di̇vamek,gitmek
buydum,üşüdüm
dıldılık,ince elbise
puşa,çingene kadın
cekkıl,zincirli iki ucuna kova takılan uzun çubuk
kate,i̇çine kavrulmuş un konularak yapılan yağlı börek
kömüş,manda
Günaşığı,Ayçiçeği
hopilik,tohum
kangırma,bükmek-eğmek
çulsuz,fakir
yellehçi,yalaka
gah,elma kurusu
edamakıllı,doğru
yığın,ot yığını
ped,kötü.çirkin
irgalamak,i̇lgilenmek
çımgı,ince değnek
yeygü,hayvan yemi
carehat,i̇ltahap.i̇rin
Zizil,Küçük solucan
yoğmag,yıkamak
camış,manda
çitilamek,dikmek
goşena,tencere
Gıjjig,Kıvırcık saç
tugeç,çul yıkamaya yarayan kalın sopa
tavlar,üzerine kapkacak koymak için raflardan oluşan tezgah
fanikmek,acele etmek
cınkı,kıvılcım
montar,pis
yilgu,meyve
köynag,eskiden gömlek yerine geçen bir giyecek
anedud,üç parmaklı tarım aleti
gıvçınmak,yerinde duramamak
âşa,ayşe
çolsuz,fakir
Zere,Zahire
cilpek,yaş veya kuru olan ince ağaç parçası
çagkıl,kova taşıyıcı çubuk
çençük,kapı kilidi
totmaç,hamurlu çorba
yumak,yıkamak
övetlemak,acele etmek
Pitil,Buzağı kursağı
çingen,çingene
cinkan,çingene
munder,pis
ciğirt,çekirdek
kâri̇,tamam
ekis nükte yabmak,alay etmek
köpen,bez
şamar,tokat
eldi,kardeş eşleri gelin
şibpek,kısa
Naleççaz,Nasıl yapacağız
çağ,şiş
zapıramak,koşmak
cenepit,camdan ekmek kabı
betire,kova
sale,sepet
cenkatme,yeni anlama.aklı başına gelme
haybe,eşya çantasi
hakat,hikaye
güncü,susam
gottuz,dik kafalı
kepmeg,dik duran bir şeyin yıkılması
calecoş,keş pişirilerek yapılan yemek
ceka,fiyaka
Dıldıbıl,Çıplak
ayrıksı,uyumsuz
gayi̇,gayır
bisat,iç çamaşır
sidil,küçük bardak
sürküç,bez
bin,kümes
bilik,bir çeşit tandır ekmeği
Gavça,Çengel
Carez,Leblebi
çael,genellikle tarlaların kullanılmayan yerindeki toplanan taş yığını
hınkel,yöresel bir yemek
dirliksiz,geçimsiz
tamışa,Kendini farklı gösteren
değma,dokunma
çiğirt,çekirdek
rig etmak,kafayı takmak
zırnık vermemek,hiçbir şey vermemek
dirgen, ot çatalı -(araç-gereç)
cebelleşmek,tartışmak
lığırt,balçık sulu çamur
el karısı,lohusalara geldiğine inanılan efsanevi yaratık
fenikmak,başı dönmek
cöbül,süzülecek üzüm şırası
beyahdan,biraz önce
köggüç,ucu sivri sopa
huzolu masraf (fuzuli),gereksiz yapılan harcama
cığızlamek,mızıkcılık etmek hakkına razı olmamak
fermanı kesilmek,güçsüz düşmek
gebağ, kabak
mezanni,kötü huylu
Kumpir,Patates
ubruch,ibrik
çamış,manda
pandul,pantolon
devık,tavuk
hafifledmek,yük hafifletmek
gakuç,çeki̇ç
gali,artık
ayrıksı,uyumsuz
gı,kız
citma,tekme
çöpüntürük,çöğr çöp
çerçi,gezgin satıcı
kak,pestil
pezmek,usanmak
çazı,suratsız
hepa,Haber
puymak,üşüme
hagkettan,Hakikaten
kurun,su kabı
çaal,genellikle tarlaların kullanılmayan yerindeki toplanan taş yığını
herif,bey
kızıllanmag,kıskanmak
Aşena,Köy evlerindeki geniş yeme-içme yeri
evçimek,eli ev işlerine yatkın
ilan,yılan
Çöğür,Diken
şirratlik etmek,bir insana kötülük yapmak
ağiş,ekmek çıkarıcı çengel
i̇lenger,yayvan bakır kap
Gocik,Kaban
gete,içli börek
yanbiri,yan yan yürüme
sidil,kova
sen siye gel,kendine gel
cantek,ağaç dallarının birbirinden ayrıldığı yer
hurum,susamın sapıyla beraber kurutulması için belinden bağlanmış ve
puşe,peçe
Goşhana,Tencere
tenizlik,pencere cam önü beton
ırbığ, su kabı (el yüz kullanımında işe yarar)
abrası olmak,bir sıkıntının üstüne sıkıntı gelmek
Camuş,Manda
Ihı,İşte
fanye,gaz lambası çeşidi
evcülük,çocukların aile oyunu
darı,mısır
cemadan,keçi kılı sırt çantası
hudik,tereddütlü
pırcıkli,havuç
Ağırsak,Teşi çengelli parça
Levor,Etkileyici kokusu olan yabani bir ot
Dummag,Dalmak
huure,orası
bıltır,geçen yıl
deyirmi,yuvarlak
gesmuk,çam kabuğu altı zarı kabuk
hışıklı, sürekli hasta olan
zam,bağlama ağacı
Gecen ğhara kalsın,İyi geceler
dozirik,delik fındıktan yapılan oyuncak
yoğşumek,hamurun açılacak kıvama gelmesi
öntüc,ödünç
zini,sini
kurzevel,kara sapanın ucuna takılan sopa
Sallangeç,Salıncak
donag,kıyafet
müçürüm,omlet
gartaş, kardeş
dikelmeg,karşı koymak
harnup,keçiboynuzu meyvesi
ahrez,dilsiz
efrini almak,acıdan dolayı aklını almak
çibinlik,sineklerden kurtulmak için örtülen ince tül
fırt,yudum
avinsiz,gereksiz
Abtıllah,Abdullah
Ağertı,Süt ürünleri
bi garış aralen digcesin,bir karış ara ile dikeceksin
gezin kelin,yine buyurun gelin
pantul,pantolon
fızılı,hızlı
milak,kokuşmuş çamur; balçık
çelınmag,aramak
süse,yol
kavot,buğday unu
margep, eşşek
Cımıg,Az
divirçi, yöresel kıyafet (üç peş)
gög, olmamış sebze-meyve
yelloz,müflis
assah mi,gerçek mi
notul,sopa ucundaki çivi (nodullamak : rahatsız etmek)
beyah,az önce
cıscıbıl,çırılçıplak
çapin,çapa
iramek,uzaklaşmak
pelemek,kundaklamak
cınnak,tırnak
urbe,elbise
çamrelemak,etekleri bele dolamak
Gönek,İç çamaşırı
anneç,karşı
dıreş,uzun boylu
deteci,dilenci
arzam,gerekli.lazım
çıbır,alaca çok renkli
otlanmak,çekinmek
giçişmeg,kaşınmak
küncü baalası,susamları sapıyla beraber kurutmak için bağlanmış hali
Emmi,Amca
kertüg,gedik
onet,doğru
abtasklıg,lavabo
çenti,dastardan yapılan süslü çanta
agrep,deveyi kontrol etmek için ağzına yakın yerde yulara bağlı bulunan sivri uçlu demir parça
allencak,hamak
çemüc,kurutulmuş üzüm
eymin,i̇yi misin
zıparmag,ölmek
evlu,evin giriş salonu
Varegel,Teleferik
alartı,aydınlık
Coç,Bataklık
göbak, mantar
cıv,kamış
gantırık,çifti boyunduruğa bağlayan ağaç
hızmeker,erkek hizmetçi
pi̇si̇k,kedi̇
yargın,sırt
kerdük,gedik
Göbeleg,Mısır koçanı
henim hincik,şimdi
mundar,pis
pupla,baş yastığı
ayha,başkasına göre hava hoş
mitil,eskimiş yatak
bezirgân pilevı,etli bulgur pilavı
meyis,gübre
mırıh,yarık dudak
hınkel,mantı
fesille,fasulye
erbet/aşered,acayip
çamtı,ters tavan
Peşgo(pöşke),Saç soba
bazene,bezelye
hukka,mürekkep
harnup,keçiboynuzu meyvesi
gandırıg,boyunduruk ağacı
uynaş,dost
baçılıg,ahret kardeşliği
tudapa,hizmetçi kız
nekes,cimri
Pımbır,Topaç
förtleme,kaynama
beçid,acele
lığırt,balçık sulu çamur
batal,büyük
dekiştırmak,kovalamak
eşıkatma,yarışma.rekabet
him,temel
çekişmeg,ağız kavgası
kullaç,kadın ayakkabısı
tavedir,çok iyi
eçasız,ansızın
sitil,küçük bardak
irağ,uzak
evarme,evlendirme
Payanda,Desteklemek amacıyla yanlardan dayanmış direk
Önge gibi,O şekilde
Emme,Ama
deşt,leğen
Öngücü,Sonunda
çömaz,acemi
erüşde,evlerde yapılan makarna
telebe,öğrenci
düşünüpdoro,düşünüyor
agran,adaş
cerlemak,sinirlenme
bıngel,yumurtalık
belemek,çocuğu kundağına sağıp yatırmak
çikayu,çıkıyo
Öngücü,Sonunda
horem,ot demeti
avkalamek,sarsmak
kaygana,yumurta yemeği
köten,şişkince gövde
bagi,beygir
sac üstü,gözleme
Hızar,Büyük testere
peşe,hanımefendi
tene,buğday tanesi
çömçe,büyük tahta kaşık
duha,kemer
şeremet,eli çabuk
sakkavel,ahır süpürgesi
eyşi,ekşi
kerıg,bahçede ekim için oluşturulan alan
goyneg,gömlek
agata,agida
sınmag,kırmak
emmi,amca
cıbıg,küçük ince dal
getinge,yenge
dıkış,içeri almak
Desinler için,Gösteriş
harer,yün çuval
Guzzik,Kambur
ennacınde,karşısında
desan,demek söylemek
Cinav,Kamçı otu
telame,topaç
Efsene,Saf kişi
cerçi̇,seyyar satici
öökünmak,dert yanmak
kenaf,tuvalaet
irgelemag,i̇lgilenmek
Çit çalısı,Boylu poslu
şağıltahli,pis adam
Dadağh,Ağabey-kardeş
hıdtı,acur çeşidi
çılğa,i̇nce patika yol
pisik,kedi
turego,bekle
esgetak,kadın
bardaş kurmak,oturma şekli
çebük,alkış
böle,böyle
tarabe,dükkanların dış kepengi
gilavater,üzüm asması
badırme,sokma.delme
sagu,ceket
nahas,ne şekilde
epsit,destek
şira,şıra. tatlılara ekilen şerbet
Bademe,Köy evlerinin önündeki sofa
mahed,sedir
